CALDT,TDBID_10,TDASK_10
20120103,100.421875,100.484375
20120104,100.15625,100.21875
20120105,100,100.0625
20120106,100.34375,100.40625
20120109,100.34375,100.40625
20120110,100.25,100.3125
20120111,100.8125,100.875
20120112,100.65625,100.71875
20120113,101.1875,101.234375
20120117,101.25,101.296875
20120118,100.875,100.921875
20120119,100.15625,100.21875
20120120,99.75,99.8125
20120123,99.515625,99.5625
20120124,99.421875,99.484375
20120125,100,100.0625
20120126,100.5625,100.609375
20120127,100.9375,100.984375
20120130,101.359375,101.421875
20120131,101.78125,101.84375
20120201,101.5,101.5625
20120202,101.546875,101.609375
20120203,100.65625,100.71875
20120206,100.796875,100.859375
20120207,100.203125,100.265625
20120208,100.109375,100.171875
20120209,100,100.046875
20120210,100.4375,100.484375
20120213,100.53125,100.578125
20120214,100.84375,100.890625
20120215,100.921875,100.96875
20120216,100.421875,100.46875
20120217,100.265625,100.296875
20120221,99.765625,99.8125
20120222,100.25,100.296875
20120223,100.28125,100.328125
20120224,100.484375,100.53125
20120227,100.9375,100.984375
20120228,100.796875,100.84375
20120229,100.546875,100.59375
20120301,100.046875,100.09375
20120302,100.546875,100.578125
20120305,100.203125,100.234375
20120306,100.8125,100.84375
20120307,100.53125,100.5390625
20120308,100.21875,100.2265625
20120309,100.1015625,100.109375
20120312,100.0546875,100.0703125
20120313,99.2265625,99.234375
20120314,97.9765625,97.984375
20120315,97.8984375,97.9453125
20120316,97.7578125,97.765625
20120319,97.0625,97.0703125
20120320,97.203125,97.2109375
20120321,97.75,97.7578125
20120322,97.9140625,97.921875
20120323,98.3125,98.328125
20120326,98.1796875,98.1953125
20120327,98.71875,98.7265625
20120328,98.59375,98.6015625
20120329,98.9375,98.953125
20120330,98.109375,98.171875
20120402,98.359375,98.421875
20120403,97.3046875,97.3671875
20120404,97.9765625,98.0390625
20120405,98.359375,98.421875
20120406,99.4609375,99.5234375
20120409,99.546875,99.609375
20120410,100.1171875,100.1796875
20120411,99.6640625,99.7265625
20120412,99.4921875,99.5546875
20120413,100.1171875,100.1796875
20120416,100.140625,100.203125
20120417,99.9921875,100.0546875
20120418,100.1796875,100.2421875
20120419,100.25,100.3125
20120420,100.296875,100.359375
20120423,100.5625,100.625
20120424,100.2109375,100.2734375
20120425,100.0859375,100.1484375
20120426,100.5,100.5625
20120427,100.5234375,100.5859375
20120430,100.734375,100.796875
20120501,100.4609375,100.5234375
20120502,100.6171875,100.6796875
20120503,100.5859375,100.6484375
20120504,101.046875,101.109375
20120507,101.1015625,101.1640625
20120508,101.3984375,101.4609375
20120509,101.53125,101.59375
20120510,101.4375,101.5
20120511,101.703125,101.765625
