Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price,TDBID_5,TDASK_5,TDBID_30,TDASK_30,TDBID_10,TDASK_10,Federal Funds (Effective),TCMNOM_M6,TCMNOM_Y10,TCMNOM_Y1,SPX Close,SPX Volume,CBOE S&P500 Volatility Index - Close,CBOE S&P100 Volatility Index - Close,CBOE NASDAQ Volatility Index - Close,CBOE DJIA Volatility Index - Close,TDBID_1,TDASK_1,delta_raw,delta_flg
36880.0,39310.0,36880.0,37510.0,0.159851918032,6151.20523721,37760.2155576,98.1953125,98.2109375,101.1015625,101.1640625,146.5546875,146.6328125,0.07,0.05,2.35,0.11,2018.05,712729024.0,14.03,13.73,15.81,13.21,101.0859375,101.109375,-630.0,0
272.738891602,276.0,268.010009766,269.900024414,1.82912819822,498.850405242,272.912799828,98.1953125,98.2109375,101.1015625,101.1640625,146.5546875,146.6328125,0.07,0.05,2.35,0.11,2018.05,712729024.0,14.03,13.73,15.81,13.21,101.0859375,101.109375,2.838867188,1
341.111999512,345.200012207,332.0,335.071990967,3.56315129254,1205.32102248,338.982982425,98.1953125,98.2109375,101.1015625,101.1640625,146.5546875,146.6328125,0.07,0.05,2.35,0.11,2018.05,712729024.0,14.03,13.73,15.81,13.21,101.0859375,101.109375,6.040008545,1
346.149993896,347.959991455,335.5,337.779998779,5.98004315988,2044.24619161,342.656426218,98.1953125,98.2109375,101.1015625,101.1640625,146.5546875,146.6328125,0.07,0.05,2.35,0.11,2018.05,712729024.0,14.03,13.73,15.81,13.21,101.0859375,101.109375,8.369995117,1
344.290008545,347.950012207,344.290008545,347.950012207,0.0177949997596,6.16607713699,346.120010376,98.1953125,98.2109375,101.1015625,101.1640625,146.5546875,146.6328125,0.07,0.05,2.35,0.11,2018.05,712729024.0,14.03,13.73,15.81,13.21,101.0859375,101.109375,-3.660003662,0
2094.45996094,2125.97998047,2052.01000977,2066.55004883,41.498649908,86406.9295041,2081.00741643,98.1953125,98.2109375,101.1015625,101.1640625,146.5546875,146.6328125,0.07,0.05,2.35,0.11,2018.05,712729024.0,14.03,13.73,15.81,13.21,101.0859375,101.109375,27.90991211,1
35840.0,38300.0,35840.0,35910.0,0.412350829968,15148.4593941,36524.2291667,98.1171875,98.1484375,101.140625,101.203125,146.484375,146.515625,0.09,0.07,2.36,0.12,2017.81,508736448.0,14.73,14.17,16.42,13.99,101.0703125,101.1015625,-70.0,0
259.043151855,266.309997559,258.029998779,260.919921875,1.9371326799,507.406835129,262.391293325,98.1171875,98.1484375,101.140625,101.203125,146.484375,146.515625,0.09,0.07,2.36,0.12,2017.81,508736448.0,14.73,14.17,16.42,13.99,101.0703125,101.1015625,-1.87677002,0
323.937988281,336.695007324,320.200012207,321.99899292,4.6323969972,1511.15261066,325.951722325,98.1171875,98.1484375,101.140625,101.203125,146.484375,146.515625,0.09,0.07,2.36,0.12,2017.81,508736448.0,14.73,14.17,16.42,13.99,101.0703125,101.1015625,1.938995361,1
324.369995117,333.989990234,322.739990234,325.5,9.06967218329,2983.34337137,328.771018071,98.1171875,98.1484375,101.140625,101.203125,146.484375,146.515625,0.09,0.07,2.36,0.12,2017.81,508736448.0,14.73,14.17,16.42,13.99,101.0703125,101.1015625,-1.130004883,0
325.188415527,325.188415527,325.0,325.0,0.828102963045,269.133851886,325.031402588,98.1171875,98.1484375,101.140625,101.203125,146.484375,146.515625,0.09,0.07,2.36,0.12,2017.81,508736448.0,14.73,14.17,16.42,13.99,101.0703125,101.1015625,0.188415527,1
1971.31005859,2035.97998047,1970.01000977,1979.36999512,67.2911419466,134566.07896,1996.65595983,98.1171875,98.1484375,101.140625,101.203125,146.484375,146.515625,0.09,0.07,2.36,0.12,2017.81,508736448.0,14.73,14.17,16.42,13.99,101.0703125,101.1015625,-8.05993653,0
35910.0,38300.0,35910.0,36490.0,0.345876594798,12833.5785838,36561.7096354,98.1484375,98.1640625,101.46875,101.53125,146.5,146.578125,0.1,0.06,2.35,0.11,2012.1,543311552.0,14.89,13.96,16.58,14.02,101.0859375,101.1171875,-580.0,0
260.674987793,265.387664795,255.149993896,261.419616699,2.5878654082,674.098562679,260.587308468,98.1484375,98.1640625,101.46875,101.53125,146.5,146.578125,0.1,0.06,2.35,0.11,2012.1,543311552.0,14.89,13.96,16.58,14.02,101.0859375,101.1171875,-0.744628906,0
321.99899292,329.399993896,318.0,325.119995117,4.88843482428,1582.34802099,323.380586977,98.1484375,98.1640625,101.46875,101.53125,146.5,146.578125,0.1,0.06,2.35,0.11,2012.1,543311552.0,14.89,13.96,16.58,14.02,101.0859375,101.1171875,-3.121002197,0
325.5,332.899993896,320.0,330.220001221,12.3539535733,4032.42092623,326.843414307,98.1484375,98.1640625,101.46875,101.53125,146.5,146.578125,0.1,0.06,2.35,0.11,2012.1,543311552.0,14.89,13.96,16.58,14.02,101.0859375,101.1171875,-4.720001221,0
325.0,330.0,325.0,325.0,1.12456261764,366.95843188,326.9502889,98.1484375,98.1640625,101.46875,101.53125,146.5,146.578125,0.1,0.06,2.35,0.11,2012.1,543311552.0,14.89,13.96,16.58,14.02,101.0859375,101.1171875,0.0,0
1978.68994141,2008.98999023,1900.81005859,1981.93005371,50.6792278691,99912.0706012,1974.15360323,98.1484375,98.1640625,101.46875,101.53125,146.5,146.578125,0.1,0.06,2.35,0.11,2012.1,543311552.0,14.89,13.96,16.58,14.02,101.0859375,101.1171875,-3.2401123,0
36490.0,40680.0,36490.0,40680.0,0.433543883053,16618.8450484,38840.9791667,98.1328125,98.1640625,101.2265625,101.2890625,146.40625,146.484375,0.09,0.07,2.36,0.11,2023.57,536628928.0,14.17,13.36,16.34,13.46,101.0859375,101.09375,-4190.0,0
261.794921875,275.0,261.794921875,270.329986572,2.56446481883,691.48941377,269.891086556,98.1328125,98.1640625,101.2265625,101.2890625,146.40625,146.484375,0.09,0.07,2.36,0.11,2023.57,536628928.0,14.17,13.36,16.34,13.46,101.0859375,101.09375,-8.535064697,0
325.5,339.0,324.549987793,335.036987305,5.60121760262,1866.47625425,333.319053367,98.1328125,98.1640625,101.2265625,101.2890625,146.40625,146.484375,0.09,0.07,2.36,0.11,2023.57,536628928.0,14.17,13.36,16.34,13.46,101.0859375,101.09375,-9.536987305,0
330.220001221,344.170013428,328.799987793,337.100006104,11.9929166825,4055.78716692,337.866042709,98.1328125,98.1640625,101.2265625,101.2890625,146.40625,146.484375,0.09,0.07,2.36,0.11,2023.57,536628928.0,14.17,13.36,16.34,13.46,101.0859375,101.09375,-6.880004883,0
329.996704102,348.204681396,328.204681396,328.204681396,0.442272454204,146.817370588,332.881662542,98.1328125,98.1640625,101.2265625,101.2890625,146.40625,146.484375,0.09,0.07,2.36,0.11,2023.57,536628928.0,14.17,13.36,16.34,13.46,101.0859375,101.09375,1.792022706,1
1982.91003418,2081.37988281,1981.93994141,2058.17993164,59.006027312,120046.743936,2036.89635901,98.1328125,98.1640625,101.2265625,101.2890625,146.40625,146.484375,0.09,0.07,2.36,0.11,2023.57,536628928.0,14.17,13.36,16.34,13.46,101.0859375,101.09375,-75.26989746,0
40680.0,45000.0,38280.0,43340.0,0.429599531796,17767.3287134,40020.0659695,97.9453125,97.9609375,100.375,100.4375,145.9296875,146.0078125,0.09,0.06,2.39,0.12,2031.21,515367744.0,13.67,13.09,15.68,13.14,101.0703125,101.1015625,-2660.0,0
270.220001221,282.799987793,269.0,279.07699585,2.90069688549,800.712412845,274.608781234,97.9453125,97.9609375,100.375,100.4375,145.9296875,146.0078125,0.09,0.06,2.39,0.12,2031.21,515367744.0,13.67,13.09,15.68,13.14,101.0703125,101.1015625,-8.856994629,0
334.930999756,348.493988037,332.100006104,344.010009766,5.69371826689,1939.18897094,339.311607908,97.9453125,97.9609375,100.375,100.4375,145.9296875,146.0078125,0.09,0.06,2.39,0.12,2031.21,515367744.0,13.67,13.09,15.68,13.14,101.0703125,101.1015625,-9.07901001,0
338.390014648,353.100006104,336.269989014,350.0,11.8930417479,4100.64918863,342.773036512,97.9453125,97.9609375,100.375,100.4375,145.9296875,146.0078125,0.09,0.06,2.39,0.12,2031.21,515367744.0,13.67,13.09,15.68,13.14,101.0703125,101.1015625,-11.609985352,0
349.17489624,349.17489624,348.0,348.0,0.013363333419,4.66101837158,348.753977458,97.9453125,97.9609375,100.375,100.4375,145.9296875,146.0078125,0.09,0.06,2.39,0.12,2031.21,515367744.0,13.67,13.09,15.68,13.14,101.0703125,101.1015625,1.17489624,1
2058.10009766,2142.97998047,2048.01000977,2127.84008789,55.0264907676,114860.966938,2085.09928501,97.9453125,97.9609375,100.375,100.4375,145.9296875,146.0078125,0.09,0.06,2.39,0.12,2031.21,515367744.0,13.67,13.09,15.68,13.14,101.0703125,101.1015625,-69.73999023,0
42170.0,43340.0,40020.0,41510.0,0.607580899194,25091.1508477,41354.4330729,98.3671875,98.390625,101.84375,101.90625,146.859375,146.9375,0.09,0.06,2.32,0.12,2031.92,525751680.0,13.12,12.43,14.71,12.61,101.0703125,101.078125,660.0,1
278.899993896,280.889953613,272.083007812,273.529998779,2.04845232232,566.716444739,276.934019336,98.3671875,98.390625,101.84375,101.90625,146.859375,146.9375,0.09,0.06,2.32,0.12,2031.92,525751680.0,13.12,12.43,14.71,12.61,101.0703125,101.078125,5.369995117,1
344.631011963,350.031005859,337.0,338.699005127,4.71254108109,1616.44120332,342.619865455,98.3671875,98.390625,101.84375,101.90625,146.859375,146.9375,0.09,0.06,2.32,0.12,2031.92,525751680.0,13.12,12.43,14.71,12.61,101.0703125,101.078125,5.932006836,1
349.989990234,352.149993896,340.399993896,342.160003662,6.20636608356,2142.9531178,345.729364501,98.3671875,98.390625,101.84375,101.90625,146.859375,146.9375,0.09,0.06,2.32,0.12,2031.92,525751680.0,13.12,12.43,14.71,12.61,101.0703125,101.078125,7.829986572,1
333.0,348.0,333.0,347.078704834,1.32058617175,445.184663391,342.184356689,98.3671875,98.390625,101.84375,101.90625,146.859375,146.9375,0.09,0.06,2.32,0.12,2031.92,525751680.0,13.12,12.43,14.71,12.61,101.0703125,101.078125,-14.078704834,0
2127.85009766,2147.66992188,2081.0,2088.15991211,60.5723143514,127825.341217,2106.93641469,98.3671875,98.390625,101.84375,101.90625,146.859375,146.9375,0.09,0.06,2.32,0.12,2031.92,525751680.0,13.12,12.43,14.71,12.61,101.0703125,101.078125,39.69018555,1
41000.0,42500.0,41000.0,42320.0,0.0467989293936,1978.70991169,42273.0715929,98.1015625,98.140625,100.5859375,100.6484375,146.15625,146.234375,0.09,0.07,2.38,0.13,2038.26,478569504.0,12.67,11.44,14.3,12.44,101.0625,101.09375,-1320.0,0
289.0,299.0,282.0,289.988555908,2.89273823361,844.125140775,292.06506588,98.1015625,98.140625,100.5859375,100.6484375,146.15625,146.234375,0.09,0.07,2.38,0.13,2038.26,478569504.0,12.67,11.44,14.3,12.44,101.0625,101.09375,-0.988555908,0
362.100006104,374.937011719,356.100006104,363.658996582,6.33894451726,2327.29896044,365.480186906,98.1015625,98.140625,100.5859375,100.6484375,146.15625,146.234375,0.09,0.07,2.38,0.13,2038.26,478569504.0,12.67,11.44,14.3,12.44,101.0625,101.09375,-1.558990478,0
364.769989014,377.769989014,357.299987793,365.799987793,14.3693560236,5302.13096403,367.056920984,98.1015625,98.140625,100.5859375,100.6484375,146.15625,146.234375,0.09,0.07,2.38,0.13,2038.26,478569504.0,12.67,11.44,14.3,12.44,101.0625,101.09375,-1.029998779,0
350.049163818,370.0,350.049163818,355.0,0.713760799915,252.160755157,356.22434082,98.1015625,98.140625,100.5859375,100.6484375,146.15625,146.234375,0.09,0.07,2.38,0.13,2038.26,478569504.0,12.67,11.44,14.3,12.44,101.0625,101.09375,-4.950836182,0
2207.88989258,2285.5,2179.09008789,2233.87011719,74.6044813414,166244.832054,2228.4127486,98.1015625,98.140625,100.5859375,100.6484375,146.15625,146.234375,0.09,0.07,2.38,0.13,2038.26,478569504.0,12.67,11.44,14.3,12.44,101.0625,101.09375,-25.98022461,0
42910.0,47500.0,42910.0,47500.0,0.357959038634,16184.683596,45660.2668457,98.03125,98.0625,100.3515625,100.4140625,146.09375,146.171875,0.09,0.07,2.37,0.14,2038.25,485259584.0,13.02,12.1,14.33,12.85,101.0546875,101.0625,-4590.0,0
293.899993896,335.020019531,293.899993896,330.0,4.33310731771,1362.578705,313.215827204,98.03125,98.0625,100.3515625,100.4140625,146.09375,146.171875,0.09,0.07,2.37,0.14,2038.25,485259584.0,13.02,12.1,14.33,12.85,101.0546875,101.0625,-36.100006104,0
364.0,430.0,363.109985352,419.0,18.3296464191,7302.0832164,391.227338699,98.03125,98.0625,100.3515625,100.4140625,146.09375,146.171875,0.09,0.07,2.37,0.14,2038.25,485259584.0,13.02,12.1,14.33,12.85,101.0546875,101.0625,-55.0,0
369.730010986,434.799987793,369.720001221,426.0,31.2368347342,12655.5056869,396.131817245,98.03125,98.0625,100.3515625,100.4140625,146.09375,146.171875,0.09,0.07,2.37,0.14,2038.25,485259584.0,13.02,12.1,14.33,12.85,101.0546875,101.0625,-56.269989014,0
383.338134766,430.359893799,379.989990234,423.482025146,2.85014236155,1153.81870072,403.754422671,98.03125,98.0625,100.3515625,100.4140625,146.09375,146.171875,0.09,0.07,2.37,0.14,2038.25,485259584.0,13.02,12.1,14.33,12.85,101.0546875,101.0625,-40.14389038,0
2240.07006836,2685.82006836,2238.14990234,2663.83007812,262.746271858,643914.691101,2424.43763953,98.03125,98.0625,100.3515625,100.4140625,146.09375,146.171875,0.09,0.07,2.37,0.14,2038.25,485259584.0,13.02,12.1,14.33,12.85,101.0546875,101.0625,-423.76000976,0
47500.0,54720.0,45360.0,45360.0,0.381500224391,19685.1968832,51468.7818034,98.21875,98.25,101.015625,101.078125,146.453125,146.5,0.09,0.08,2.35,0.15,2039.33,499429664.0,13.79,12.17,14.55,12.85,101.03125,101.0625,2140.0,1
330.079986572,354.402313232,303.0,331.639984131,5.88062212335,1945.8248272,334.36853623,98.21875,98.25,101.015625,101.078125,146.453125,146.5,0.09,0.08,2.35,0.15,2039.33,499429664.0,13.79,12.17,14.55,12.85,101.03125,101.0625,-1.559997559,0
419.0,454.981994629,385.100006104,413.773986816,20.3996498094,8583.14045253,422.883641212,98.21875,98.25,101.015625,101.078125,146.453125,146.5,0.09,0.08,2.35,0.15,2039.33,499429664.0,13.79,12.17,14.55,12.85,101.03125,101.0625,5.226013184,1
426.010009766,453.920013428,381.549987793,417.779998779,35.0378109655,14728.2195193,426.862485017,98.21875,98.25,101.015625,101.078125,146.453125,146.5,0.09,0.08,2.35,0.15,2039.33,499429664.0,13.79,12.17,14.55,12.85,101.03125,101.0625,8.230010987,1
423.282073975,450.0,380.0,415.0,1.46409179448,602.842076418,416.889294434,98.21875,98.25,101.015625,101.078125,146.453125,146.5,0.09,0.08,2.35,0.15,2039.33,499429664.0,13.79,12.17,14.55,12.85,101.03125,101.0625,8.282073975,1
2663.84008789,2955.01000977,2411.0,2624.08007812,403.68715959,1095744.49285,2691.7735319,98.21875,98.25,101.015625,101.078125,146.453125,146.5,0.09,0.08,2.35,0.15,2039.33,499429664.0,13.79,12.17,14.55,12.85,101.03125,101.0625,39.76000977,1
45440.0,49160.0,44760.0,48580.0,0.279388997201,13261.857326,47310.0236681,98.3046875,98.3203125,101.3515625,101.4140625,146.6171875,146.6640625,0.09,0.07,2.32,0.15,2039.82,470705056.0,13.31,12.06,15.16,12.82,101.046875,101.0703125,-3140.0,0
330.510009766,330.889862061,303.700012207,318.371124268,3.47386982034,1102.95603324,317.559129209,98.3046875,98.3203125,101.3515625,101.4140625,146.6171875,146.6640625,0.09,0.07,2.32,0.15,2039.82,470705056.0,13.31,12.06,15.16,12.82,101.046875,101.0703125,12.138885498,1
413.997009277,414.345001221,378.0,394.934997559,9.28516761383,3651.37935703,393.076325935,98.3046875,98.3203125,101.3515625,101.4140625,146.6171875,146.6640625,0.09,0.07,2.32,0.15,2039.82,470705056.0,13.31,12.06,15.16,12.82,101.046875,101.0703125,19.062011718,1
417.850006104,420.929992676,382.950012207,399.670013428,15.9358711853,6341.87288235,397.886563979,98.3046875,98.3203125,101.3515625,101.4140625,146.6171875,146.6640625,0.09,0.07,2.32,0.15,2039.82,470705056.0,13.31,12.06,15.16,12.82,101.046875,101.0703125,18.179992676,1
415.0,417.770935059,395.0,395.0,1.93028498131,790.684194247,410.230911255,98.3046875,98.3203125,101.3515625,101.4140625,146.6171875,146.6640625,0.09,0.07,2.32,0.15,2039.82,470705056.0,13.31,12.06,15.16,12.82,101.046875,101.0703125,20.0,1
2624.08007812,2624.08007812,2330.0,2446.64990234,392.259033816,950651.040408,2428.99819777,98.3046875,98.3203125,101.3515625,101.4140625,146.6171875,146.6640625,0.09,0.07,2.32,0.15,2039.82,470705056.0,13.31,12.06,15.16,12.82,101.046875,101.0703125,177.43017578,1
43580.0,49690.0,43580.0,47030.0,0.275027742524,13136.9905337,47771.9095513,98.21875,98.2421875,101.078125,101.140625,146.390625,146.4375,0.1,0.07,2.34,0.15,2041.32,495556288.0,13.99,12.53,15.53,13.2,101.0390625,101.0546875,-3450.0,0
311.519989014,325.558929443,304.200012207,312.929992676,3.83915950995,1213.4160223,316.888254264,98.21875,98.2421875,101.078125,101.140625,146.390625,146.4375,0.1,0.07,2.34,0.15,2041.32,495556288.0,13.99,12.53,15.53,13.2,101.0390625,101.0546875,-1.410003662,0
384.058990479,406.0,373.028015137,382.031005859,8.76253403752,3427.89335204,392.288740878,98.21875,98.2421875,101.078125,101.140625,146.390625,146.4375,0.1,0.07,2.34,0.15,2041.32,495556288.0,13.99,12.53,15.53,13.2,101.0390625,101.0546875,2.02798462,1
389.859985352,415.0,375.0,388.809997559,17.8310239923,7064.31965977,397.969431602,98.21875,98.2421875,101.078125,101.140625,146.390625,146.4375,0.1,0.07,2.34,0.15,2041.32,495556288.0,13.99,12.53,15.53,13.2,101.0390625,101.0546875,1.049987793,1
394.99899292,414.262542725,376.002593994,400.0,0.601694017474,243.551636382,401.779735747,98.21875,98.2421875,101.078125,101.140625,146.390625,146.4375,0.1,0.07,2.34,0.15,2041.32,495556288.0,13.99,12.53,15.53,13.2,101.0390625,101.0546875,-5.00100708,0
2365.23999023,2511.58007812,2305.0,2365.81005859,211.904646244,513123.62774,2425.19257626,98.21875,98.2421875,101.078125,101.140625,146.390625,146.4375,0.1,0.07,2.34,0.15,2041.32,495556288.0,13.99,12.53,15.53,13.2,101.0390625,101.0546875,-0.57006836,0
47030.0,48600.0,45910.0,45910.0,0.104099159816,4878.43913798,46655.2208523,98.296875,98.3125,101.5703125,101.6328125,146.65625,146.7109375,0.11,0.07,2.32,0.14,2051.8,485794304.0,13.86,12.66,15.38,13.22,101.0390625,101.0703125,1120.0,1
