Date,CBOE S&P500 Volatility Index - Close,CBOE S&P100 Volatility Index - Close,CBOE NASDAQ Volatility Index - Close,CBOE DJIA Volatility Index - Close
20120703,16.66,15.73,18.56,15.46
20120705,17.5,17.17,18.43,15.85
20120706,17.1,16.7,18.65,15.83
20120709,17.98,17.24,19.6,16.52
20120710,18.72,17.93,20.67,16.93
20120711,17.95,17.8,20.34,16.63
20120712,18.33,18.07,20.97,16.89
20120713,16.74,16.08,19.09,15.22
20120716,17.11,16.92,19.54,15.62
20120717,16.48,15.96,18.91,15.16
20120718,16.16,15.97,18.3,14.53
20120719,15.45,15.75,17.49,14.26
20120720,16.27,15.99,18.2,14.93
20120723,18.62,17.19,20.61,16.89
20120724,20.47,19,22.83,18.38
20120725,19.34,18.56,21.44,17.33
20120726,17.53,16.65,20.11,15.92
20120727,16.7,16.35,18.58,15.33
20120730,18.03,17.13,19.74,16.54
20120731,18.93,18.19,20.3,17.39
20120801,18.96,18.42,20.19,17.41
20120802,17.57,16.85,19.08,16.24
20120803,15.64,14.77,17.46,14.44
20120806,15.95,14.78,17.57,14.68
20120807,15.99,14.9,17.41,14.86
20120808,15.32,14.48,16.97,14.15
20120809,15.28,14,16.41,13.85
20120810,14.74,13.89,15.89,13.57
20120813,13.7,13.94,14.48,12.43
20120814,14.85,14.62,15.4,13.14
20120815,14.63,14.79,14.77,13
20120816,14.29,14.12,14.81,12.62
20120817,13.45,13.42,13.79,12.01
20120820,14.02,12.89,14.62,12.61
20120821,15.02,14.02,15.36,13.49
20120822,15.11,14.22,15.58,13.69
20120823,15.96,15.32,16.68,14.44
20120824,15.18,14.62,16.6,13.85
20120827,16.35,14.92,17.19,14.9
20120828,16.49,15.57,17.64,15.46
20120829,17.06,16.23,18.11,15.8
20120830,17.83,17.2,19.03,16.5
20120831,17.47,16.32,18.35,15.69
20120904,17.98,17.03,19.09,16.38
20120905,17.74,17.15,19.02,16.27
20120906,15.6,14.68,17.01,14.3
20120907,14.38,13.37,15.44,13.19
20120910,16.28,15.27,17.8,14.92
20120911,16.41,15.4,18.01,14.79
20120912,15.8,15.45,17.18,14.24
20120913,14.05,13.78,16.15,13.47
20120914,14.51,14.36,15.89,13.53
20120917,14.59,13.96,15.79,13.4
20120918,14.18,13.31,15.05,12.81
20120919,13.88,13.13,14.84,12.79
20120920,14.07,12.92,14.58,12.78
20120921,13.98,12.37,14.44,12.65
20120924,14.15,12.45,15.34,12.96
20120925,15.43,13.93,16.7,13.84
20120926,16.81,15.36,17.94,15.1
20120927,14.84,13.48,16.45,13.77
20120928,15.73,14.57,17.01,14.34
20121001,16.32,14.6,17.75,14.61
20121002,15.71,14.36,17.3,14.56
20121003,15.43,14.05,16.76,14.29
20121004,14.55,13.76,16.65,13.75
20121005,14.33,13.58,16.48,13.09
20121008,15.11,13.89,17.52,13.69
20121009,16.37,15.24,18.87,14.66
20121010,16.29,15.51,18.48,14.84
20121011,15.59,15.04,18.33,14.35
20121012,16.14,15.74,17.84,14.71
20121015,15.27,14.69,17.55,13.98
20121016,15.22,14.42,17.17,13.84
20121017,15.07,14.12,16.89,13.86
20121018,15.03,14.3,17.61,13.74
20121019,17.06,15.91,20.05,15.48
20121022,16.62,15.34,19.2,15.2
20121023,18.83,18.06,20.66,17.46
20121024,18.33,18.22,21.67,16.95
20121025,18.12,17.54,20.28,16.69
20121026,17.81,17.88,19.58,16.55
20121031,18.6,18.6,20.33,17.26
20121101,16.69,16.9,18.44,15.36
20121102,17.59,17.87,19.95,16.34
20121105,18.42,18.63,19.54,17.14
20121106,17.58,17.75,19.1,16.37
20121107,19.08,19.45,20.42,18.04
20121108,18.49,18.93,20.14,17.25
20121109,18.61,19.35,19.41,17.24
20121112,16.68,17.68,18.62,15.62
20121113,16.65,17.56,19.05,15.47
20121114,17.92,19.16,19.5,16.58
20121115,17.99,19.28,19.23,16.96
20121116,16.41,17.66,18.13,15.53
20121119,15.24,15.47,15.92,14.33
20121120,15.08,15.3,16.18,14.02
20121121,15.31,15.48,16.21,14.1
20121123,15.14,15.41,16.21,18.64
20121126,15.5,15.23,16.81,14.19
20121127,15.92,15.98,16.9,14.66
20121128,15.51,15.62,16.75,14.31
20121129,15.06,15.41,16.4,13.84
20121130,15.87,16.15,16.96,14.54
20121203,16.64,16.16,17.69,15.36
20121204,17.12,17.13,18.37,15.69
20121205,16.46,16.86,18.63,15.05
20121206,16.58,17.06,18.49,15.05
20121207,15.9,16.24,18.35,14.48
20121210,16.05,16.17,18.74,14.64
20121211,15.57,15.78,17.96,14.28
20121212,15.95,16.03,18.58,14.65
20121213,16.56,16.71,19.47,15.21
20121214,17,17.46,20.19,15.55
20121217,16.34,16.46,19.47,15.17
20121218,15.57,15.77,18.63,14.54
20121219,17.36,17.39,19.27,16.03
20121220,17.67,17.62,19.32,16.37
20121221,17.84,17.12,20.16,16.47
20121224,17.84,17.66,20.15,16.47
20121226,19.48,18.64,21.18,17.95
20121227,19.47,19.16,21.57,18.01
20121228,22.72,23.07,23.32,16.6
20121231,18.02,18.53,20.56,17.22
20130102,14.68,13.3,16.95,13.92
20130103,14.56,14.01,17.11,13.74
20130104,13.83,13.8,15.51,13.06
20130107,13.79,13.08,16.55,13.09
20130108,13.62,13.21,16.43,12.83
20130109,13.81,13.55,16.08,12.83
20130110,13.49,13.29,16.08,12.67
20130111,13.36,13.32,15.87,12.36
20130114,13.52,13.64,16.13,12.55
20130115,13.55,13.61,16.12,12.35
20130116,13.42,13.34,15.32,12.52
20130117,13.57,13.42,15.07,12.64
20130118,12.46,12.14,14.17,11.47
20130122,12.43,11.98,14.08,11.32
20130123,12.46,11.81,14.28,11.31
20130124,12.69,12.29,14.17,11.46
20130125,12.89,12.45,14.06,11.75
20130128,13.57,12.87,14.39,12.46
20130129,13.31,12.67,14.02,12.23
20130130,14.32,13.79,14.38,13.15
20130131,14.28,13.99,14.83,13.31
20130201,12.9,12.44,13.89,12.07
20130204,14.67,13.95,15.73,13.65
20130205,13.72,12.74,14.83,13.16
20130206,13.41,13.01,14.02,12.78
20130207,13.5,12.88,14.77,12.91
20130208,13.02,12.44,14.14,12.66
20130211,12.94,12.45,14.11,12.35
20130212,12.64,12.26,13.06,12.02
20130213,12.98,12.59,14.41,12.19
20130214,12.66,12.08,13.66,11.72
20130215,12.46,11.91,13.47,11.56
20130219,12.31,11.37,13.42,11.47
20130220,14.68,13.97,15.28,13.31
20130221,15.22,14.94,16.49,13.68
20130222,14.17,13.74,15.68,12.71
20130225,18.99,18.74,19.35,16.72
20130226,16.87,16.44,17.91,14.81
20130227,14.73,14.02,16.34,13.15
20130228,15.51,14.76,16.3,13.7
20130301,15.36,14.65,15.64,13.61
20130304,14.01,12.74,15.39,12.77
20130305,13.48,12.16,14.6,12.38
20130306,13.53,12.36,14.6,12.44
20130307,13.06,11.99,14.23,12.04
20130308,12.59,11.62,13.72,11.64
20130311,11.56,11.67,12.41,10.68
20130312,12.27,11.79,12.84,10.84
20130313,11.83,11.77,12.65,10.54
20130314,11.3,11.25,12.33,10.22
20130315,11.3,10.97,12.03,10.08
20130318,13.36,12.69,13.69,11.78
20130319,14.39,13.43,14.45,12.59
20130320,12.67,12,13.42,11.59
20130321,13.99,13.96,14.24,12.55
20130322,13.57,13.24,13.88,12.28
20130325,13.74,13.12,14.35,12.53
20130326,12.77,11.93,13.42,11.7
20130327,13.15,12.45,13.57,12.13
20130328,12.7,12.04,13.28,11.69
20130401,13.58,12.81,14.48,12.26
20130402,12.78,11.81,14.02,11.56
20130403,14.21,13.63,14.94,12.67
20130404,13.89,13.54,15.26,12.6
20130405,13.92,13.87,15.52,12.54
20130408,13.19,12.9,14.89,12.12
20130409,12.84,12.22,14.46,11.86
20130410,12.36,11.78,13.71,11.7
20130411,12.24,11.69,14.09,11.47
20130412,12.06,11.68,13.88,11.11
20130415,17.27,16.23,17.16,15.16
20130416,13.96,13.01,15.72,12.51
20130417,16.51,15.99,18.2,14.65
20130418,17.56,16.37,18.75,15.48
20130419,14.97,14.27,17.17,13.59
20130422,14.39,13.05,16.13,13.16
20130423,13.48,12.36,15.72,12.23
20130424,13.61,12.87,15.4,12.49
20130425,13.62,13.28,15.32,12.48
20130426,13.61,12.93,15.48,12.2
20130429,13.71,12.7,15.32,12.36
20130430,13.52,12.54,15.34,12.21
20130501,14.49,13.79,16,13.02
20130502,13.59,12.89,15.19,12.25
20130503,12.85,12.16,14.66,11.67
20130506,12.66,11.54,14.6,11.7
20130507,12.83,11.66,14.27,11.7
20130508,12.66,11.52,14.49,11.66
20130509,13.13,12.4,14.49,11.9
20130510,12.59,11.63,14.34,11.64
20130513,12.55,12.47,14.59,11.45
20130514,12.77,12.65,14.78,11.78
20130515,12.81,12.5,13.88,11.76
20130516,13.07,12.58,13.72,11.89
20130517,12.45,12.24,13.3,11.45
20130520,13.02,12.25,13.53,11.83
20130521,13.37,12.89,14.41,12.2
20130522,13.82,13.5,14.73,12.34
20130523,14.07,13.7,14.89,12.57
20130524,13.99,13.64,14.48,12.61
20130528,14.48,13.82,14.99,13.09
20130529,14.83,14.34,15.18,13.37
20130530,14.53,14.12,14.99,13.21
20130531,16.3,15.82,15.99,14.23
20130603,16.28,15.26,16.79,14.2
20130604,16.27,16.17,16.84,14.46
20130605,17.5,17.34,17.49,15.62
20130606,16.63,16.82,17.4,14.97
20130607,15.14,14.59,15.88,13.59
20130610,15.44,14.84,15.86,13.91
20130611,17.07,16.77,16.88,15.17
20130612,18.59,18.46,18.7,16.69
20130613,16.41,16.33,17.13,14.85
20130614,17.15,17.26,17.28,15.48
20130617,16.8,16.75,16.95,15.16
20130618,16.61,16.39,16.47,14.77
20130619,16.64,16.48,15.12,14.87
20130620,20.49,21.33,20.06,18.22
20130621,18.9,18.91,19.44,16.77
20130624,20.11,19.92,19.83,17.74
20130625,18.47,18.31,18.8,16.61
20130626,17.21,17.25,17.38,15.33
20130627,16.86,16.7,16.72,14.89
20130628,16.86,17.24,16.47,15.21
20130701,16.37,16.01,16.16,14.92
20130702,16.44,16.11,15.94,14.91
20130703,16.2,16.18,15.8,14.7
20130705,14.89,14.62,14.91,13.47
20130708,14.78,14.12,14.77,13.33
20130709,14.35,13.74,14.26,13.26
20130710,14.21,14.25,13.95,12.93
20130711,14.01,13.84,13.87,12.79
20130712,13.84,13.46,13.96,12.93
20130715,13.79,13.96,14.03,12.92
20130716,14.42,14.21,14.25,13.35
20130717,13.78,13.64,13.92,12.7
20130718,13.77,13.5,13.47,12.53
20130719,12.54,12.58,13.75,11.66
20130722,12.29,11.81,13.39,11.68
20130723,12.66,12.08,13.37,11.71
20130724,13.18,12.67,13.27,12
20130725,12.97,12.43,13.32,11.91
20130726,12.72,12.08,12.93,11.79
20130729,13.39,12.38,13.65,12.3
20130730,13.39,12.84,13.87,12.33
20130731,13.45,13.28,14.25,12.57
20130801,12.94,12.71,13.88,12.26
20130802,11.98,11.19,12.77,11.25
20130805,11.84,10.94,12.83,11.13
20130806,12.72,11.65,13.35,11.97
20130807,12.98,11.98,13.44,12.02
20130808,12.73,11.67,13.26,12.02
20130809,13.41,12.63,13.63,12.59
20130812,12.81,13.07,12.86,12.21
20130813,12.31,12.39,12.5,11.67
20130814,13.04,13.06,13.3,12.49
20130815,14.73,14.86,14.9,13.84
20130816,14.37,14.37,14.73,13.37
20130819,15.1,14.31,15.53,13.81
20130820,14.91,14.78,15.15,13.81
20130821,15.94,15.59,15.99,14.9
20130822,14.76,14.72,15.44,13.89
20130823,13.98,13.91,14.62,13.05
20130826,14.99,14.34,15.32,13.89
20130827,16.77,16.35,17.63,15.12
20130828,16.49,16.15,17.42,14.84
20130829,16.81,16.71,17.4,15.15
20130830,17.01,17.62,17.53,15.38
20130903,16.61,16.53,17.89,15.14
20130904,15.88,15.57,16.77,14.5
20130905,15.77,15.71,16.51,14.31
20130906,15.85,15.38,16.32,14.35
20130909,15.63,15.1,16.16,14.23
20130910,14.53,13.83,15.24,13.34
20130911,13.82,13.17,14.73,12.56
20130912,14.29,13.91,14.75,12.95
20130913,14.16,13.91,14.7,12.98
20130916,14.38,14.24,15.16,13.12
20130917,14.53,14.19,14.72,13.44
20130918,13.59,13.4,14.15,13.13
20130919,13.16,13.21,13.77,12.47
20130920,13.12,12.95,12.97,12.84
20130923,14.31,13.63,14.64,13.64
20130924,14.08,13.39,14.37,13.48
20130925,14.01,13.56,14.66,13.55
20130926,14.06,13.5,14.36,13.4
20130927,15.46,14.68,15.65,14.69
20130930,16.6,15.97,16.73,15.91
20131001,15.54,14.55,15.97,15.04
20131002,16.6,16.29,16.72,16.34
20131003,17.67,16.86,18.3,17.12
20131004,16.74,15.97,17.32,16.15
20131007,19.41,18.33,19.84,18.5
20131008,20.34,19.82,22.07,19.33
20131009,19.6,19.01,21.68,18.39
20131010,16.48,16.01,18.45,15.76
20131011,15.72,14.77,17.19,14.76
20131014,16.07,14.91,17.47,15.17
20131015,18.66,16.91,18.77,17.78
20131016,14.71,14.09,16.4,14.73
20131017,13.48,12.87,14.49,13.29
20131018,13.04,11.77,13.69,12.83
20131021,13.16,11.54,14.4,12.98
20131022,13.33,12.03,14.96,12.97
20131023,13.42,12.16,15.33,12.85
20131024,13.2,11.34,14.5,12.4
20131025,13.09,11.62,14.91,12.38
20131028,13.31,11.13,14.97,12.74
20131029,13.41,12.2,14.83,12.78
20131030,13.65,12.71,14.72,13.08
20131031,13.75,12.54,14.88,13.05
20131101,13.28,12.03,14.76,12.66
20131104,12.93,11.48,14.37,12.66
20131105,13.27,12.01,14.4,12.66
20131106,12.67,12.01,14.76,12.12
20131107,13.91,12.84,15.67,12.89
20131108,12.9,12.75,14.67,12.33
20131111,12.53,12.24,14.37,12.04
20131112,12.82,12.23,14.14,12.18
20131113,12.52,11.9,13.66,12.1
20131114,12.37,11.93,13.26,11.96
20131115,12.19,11.41,13.13,11.24
20131118,13.1,11.76,14.37,11.86
20131119,13.39,12.11,14.52,12.17
20131120,13.4,12.08,14.44,12.35
20131121,12.66,11.81,14.01,11.91
20131122,12.26,11.45,13.65,11.4
20131125,12.79,11.2,13.74,11.78
20131126,12.81,11.49,13.6,11.83
20131127,12.98,11.69,13.36,12.03
20131129,13.7,12.71,13.93,12.76
20131202,14.23,12.69,14.81,13.52
20131203,14.55,12.8,14.93,13.81
20131204,14.7,13.37,15.08,13.88
20131205,15.08,14.24,16.11,14.23
20131206,13.79,12.74,14.85,12.85
20131209,13.49,12.35,14.8,12.96
20131210,13.91,13.02,14.8,13.24
20131211,15.42,14.61,15.88,14.33
20131212,15.54,15.3,16,14.76
20131213,15.76,15.77,15.98,14.92
20131216,16.03,15.01,16.54,15.12
20131217,16.21,15.15,16.47,14.98
20131218,13.8,12.8,15.01,12.81
20131219,14.15,12.76,14.92,13.02
20131220,13.79,11.8,14.48,12.89
20131223,13.04,11.42,14.11,12.47
20131224,12.48,11,13.91,11.9
20131226,12.33,11.22,13.93,11.57
20131227,12.46,10.93,14.51,11.7
20131230,13.56,11.67,15.16,12.64
20131231,13.72,12.25,15.44,12.9
20140102,14.23,12.59,15.88,13.31
20140103,13.76,12.4,15.85,12.89
20140106,13.55,11.95,15.82,12.68
20140107,12.92,11.47,15.1,12.17
20140108,12.87,11.71,14.88,12.29
20140109,12.89,11.93,15.1,12.39
20140110,12.14,11.06,14.09,11.84
20140113,13.28,12.72,15.05,12.65
20140114,12.28,11.59,13.52,11.93
20140115,12.28,11.46,13.63,11.58
20140116,12.53,11.9,14.11,11.94
20140117,12.44,11.24,14.2,11.64
20140121,12.87,11.3,14.34,12.38
20140122,12.84,11.55,14.43,12.66
20140123,13.77,12.67,15.33,13.63
20140124,18.14,16.33,18.84,17.43
20140127,17.42,15.61,18.87,16.69
20140128,15.8,14.92,17.65,15.32
20140129,17.35,16.58,18.69,16.8
20140130,17.29,15.78,18.65,16.82
20140131,18.41,17.44,18.97,17.91
20140203,21.44,19.77,21.44,20.67
20140204,19.11,17.59,20.1,18.55
20140205,19.95,18.52,21.15,19.03
20140206,17.23,16.55,19.48,16.78
20140207,15.29,14.05,16.71,14.91
20140210,15.26,13.84,16.53,15.04
20140211,14.51,12.75,15.84,14.09
20140212,14.3,13.48,15.93,13.97
20140213,14.14,12.7,15.49,13.83
20140214,13.57,12.13,14.8,13.15
20140218,13.87,13.16,15.23,13.7
20140219,15.5,14.24,16.32,14.96
20140220,14.79,13.82,15.91,14.4
20140221,14.68,12.85,15.81,14.2
20140224,14.23,12.51,15.24,13.81
20140225,13.67,12.79,15.15,13.41
20140226,14.35,13.18,15.29,13.7
20140227,14.04,12.55,14.79,13.27
20140228,14,12.93,15.01,13.22
20140303,16,14.5,16.85,15.19
20140304,14.1,12.8,15.41,13.55
20140305,13.89,12.77,15.22,13.44
20140306,14.21,12.98,14.94,13.46
20140307,14.11,12.97,15.23,13.37
20140310,14.2,12.62,15.52,13.65
20140311,14.8,13.29,15.78,14.03
20140312,14.47,13.1,15.54,13.83
20140313,16.22,15.54,17.47,15.54
20140314,17.82,17.22,18.89,16.76
20140317,15.64,14.15,17.47,14.81
20140318,14.52,13.66,15.93,14.06
20140319,15.12,13.44,16.23,14.5
20140320,14.52,13.09,16.18,13.96
20140321,15,13.26,17.35,14.29
20140324,15.09,13.38,18.12,14.13
20140325,14.02,12.73,17.12,13.57
20140326,14.93,13.92,18.14,14.27
20140327,14.62,14.02,18.49,13.72
20140328,14.41,13.45,18.09,13.55
20140331,13.88,12.55,18.12,13.16
20140401,13.1,11.6,16.74,12.44
20140402,13.09,11.97,16.37,12.51
20140403,13.37,12.73,16.96,12.73
20140404,13.96,13.42,18.79,13.12
20140407,15.57,14.26,20.05,14.51
20140408,14.89,14.01,19.11,14.07
20140409,13.82,12.64,17.72,12.87
20140410,15.89,15.55,20.59,14.64
20140411,17.03,17.19,22.65,15.51
20140414,16.11,15.64,21.7,14.67
20140415,15.61,15.03,21.91,14.13
20140416,14.18,13.53,20.41,12.83
20140417,13.36,12.8,19.39,12.42
20140421,13.25,12.79,18.53,12.59
20140422,13.19,12.35,17.18,12.39
20140423,13.27,13.13,16.9,12.36
20140424,13.32,12.82,17.17,12.4
20140425,14.06,13.89,18.59,13.07
20140428,13.97,12.86,18.74,12.9
20140429,13.71,12.65,18.33,12.76
20140430,13.41,12.33,17.68,12.52
20140501,13.25,12.39,17.15,12.47
20140502,12.91,11.82,17.03,12.29
20140505,13.29,11.84,16.78,12.55
20140506,13.8,13.14,17.09,13.01
20140507,13.4,12.55,17.4,12.63
20140508,13.43,12.6,17.42,12.56
20140509,12.92,11.6,16.52,12.12
20140512,12.23,11.83,15.49,11.43
20140513,12.13,12,15.37,11.4
20140514,12.17,11.76,15.16,11.54
20140515,13.17,12.85,16.06,12.08
20140516,12.44,11.93,15.25,11.39
20140519,12.42,11.64,15.1,11.53
20140520,12.96,12.28,15.34,12.17
20140521,11.91,11.19,14.5,11.15
20140522,12.03,11.32,14.2,11.19
20140523,11.36,11,13.45,10.47
20140527,11.51,10.78,13.72,10.87
20140528,11.68,11.06,14.04,11.12
20140529,11.57,10.85,13.84,10.94
20140530,11.4,10.56,13.77,10.69
20140602,11.58,10.72,14.33,11.08
20140603,11.87,11.09,14.35,11.21
20140604,12.08,11.48,14.21,11.44
20140605,11.68,11.15,13.66,11.27
20140606,10.73,10.27,13.21,10.48
20140609,11.15,10.07,13.79,10.72
20140610,10.99,9.81,13.57,10.68
20140611,11.6,10.54,13.37,11.25
20140612,12.56,11.59,13.85,11.97
20140613,12.18,11.22,13.61,11.79
20140616,12.65,11.5,13.7,12.27
20140617,12.06,10.97,13.51,11.96
20140618,10.61,9.63,12.65,10.58
20140619,10.62,9.22,12.51,10.44
20140620,10.85,9.07,12.27,10.6
20140623,10.98,8.86,12.3,10.19
20140624,12.13,10.38,12.61,11.17
20140625,11.59,9.76,12.54,11.02
20140626,11.63,9.75,12.2,11.15
20140627,11.26,9.65,12.03,11.02
20140630,11.57,9.54,12.21,11.06
20140701,11.15,9.17,11.98,10.47
20140702,10.82,8.92,11.59,10.18
20140703,10.32,8.51,11.36,9.71
20140707,11.33,9.45,12.44,10.75
20140708,11.98,10.53,13.74,11.21
20140709,11.65,9.9,13.22,10.79
20140710,12.59,10.98,14.13,11.75
20140711,12.08,10.44,13.66,11.21
20140714,11.82,9.98,13.59,10.82
20140715,11.96,10.44,14.33,11.16
20140716,11,9.78,13.38,10.3
20140717,14.54,13.13,15.85,13.35
20140718,12.06,10.24,13.4,11.59
20140721,12.81,10.59,14.17,12.01
20140722,12.24,9.93,13.26,11.43
20140723,11.52,10.27,12.91,11.3
20140724,11.84,10.36,13.08,11.39
20140725,12.69,11.07,13.36,12.04
20140728,12.56,10.71,13.84,12.01
20140729,13.28,11.69,14.2,12.56
20140730,13.33,11.87,13.93,12.7
20140731,16.95,16.09,16.82,15.74
20140801,17.03,16.06,17.26,16.11
20140804,15.12,13.49,16.08,14.48
20140805,16.87,15.25,17.02,15.73
20140806,16.37,15.27,17.07,15.2
20140807,16.66,15.84,17.37,15.63
20140808,15.77,15.22,17.02,14.8
20140811,14.23,13.98,15.27,13.71
20140812,14.13,13.52,15.13,13.51
20140813,12.9,12.37,13.81,12.37
20140814,12.42,11.38,12.95,11.77
20140815,13.15,11.73,13.37,12.83
20140818,12.32,10.7,12.85,11.47
20140819,12.21,10.83,12.66,11.2
20140820,11.78,10.51,12.66,10.98
20140821,11.76,10.83,12.5,10.73
20140822,11.47,10.56,12.23,10.75
20140825,11.7,10.26,12.45,10.83
20140826,11.63,10.38,12.34,10.69
20140827,11.78,10.89,12.34,10.7
20140828,12.05,10.77,12.65,11.05
20140829,11.98,10.87,12.71,11.37
20140902,12.25,11.05,12.98,11.74
20140903,12.36,11.15,13.56,11.79
20140904,12.64,11.67,13.78,12.04
20140905,12.09,10.41,13.24,11.5
20140908,12.66,10.66,13.66,11.89
20140909,13.5,11.8,14.53,12.61
20140910,12.88,11.3,14.12,12.32
20140911,12.8,11.41,14.03,12.27
20140912,13.31,11.96,14.67,12.64
20140915,14.12,12.53,16.19,13.12
20140916,12.73,11.19,14.92,12.31
20140917,12.65,10.96,13.85,11.77
20140918,12.03,10.5,13.51,10.99
20140919,12.11,10.19,13.8,11.03
20140922,13.69,11.55,15.51,12.17
20140923,14.93,13.13,16.46,13.39
20140924,13.27,11.69,15.25,12.01
20140925,15.64,14.6,18.12,14.02
20140926,14.85,13.62,16.85,13.25
20140929,15.98,14.01,18.03,13.93
20140930,16.31,14.77,18.26,14.33
20141001,16.71,16.04,19.21,14.76
20141002,16.16,15.43,18.63,14.19
20141003,14.55,13.59,17.54,12.98
