CALDT,TDBID,TDASK
20120103,102.78125,102.84375
20120104,101.84375,101.921875
20120105,101.1875,101.265625
20120106,102.09375,102.171875
20120109,101.875,101.9375
20120110,101.953125,102.015625
20120111,103.15625,103.21875
20120112,102.96875,103.046875
20120113,104.203125,104.28125
20120117,104.453125,104.515625
20120118,103.265625,103.34375
20120119,101.59375,101.671875
20120120,100.4375,100.515625
20120123,99.859375,99.9375
20120124,99.484375,99.546875
20120125,99.5,99.5625
20120126,100.625,100.6875
20120127,101.25,101.328125
20120130,102.421875,102.5
20120131,103.640625,103.703125
20120201,102.5625,102.625
20120202,102.34375,102.40625
20120203,100.0625,100.140625
20120206,100.484375,100.546875
20120207,99.5625,99.640625
20120208,99.453125,99.515625
20120209,98.890625,98.953125
20120210,99.828125,99.875
20120213,100.203125,100.25
20120214,100.859375,100.890625
20120215,100.796875,100.84375
20120216,99.828125,99.875
20120217,99.65625,99.703125
20120221,98.46875,98.515625
20120222,99.65625,99.703125
20120223,99.828125,99.875
20120224,100.5625,100.609375
20120227,101.546875,101.59375
20120228,101.046875,101.09375
20120229,100.84375,100.890625
20120301,99.59375,99.640625
20120302,100.46875,100.515625
20120305,99.578125,99.609375
20120306,101.03125,101.078125
20120307,100.0859375,100.1015625
20120308,99.1171875,99.125
20120309,99.0390625,99.0546875
20120312,99.1796875,99.1953125
20120313,97.3828125,97.3984375
20120314,94.9140625,94.9296875
20120315,94.6640625,94.6796875
20120316,94.8359375,94.8515625
20120319,93.5234375,93.5390625
20120320,94.078125,94.09375
20120321,95.2109375,95.2265625
20120322,95.6328125,95.6640625
20120323,96.625,96.640625
20120326,95.984375,96
20120327,96.75,96.765625
20120328,96.53125,96.546875
20120329,97.234375,97.25
20120330,95.953125,96.015625
20120402,96.125,96.1875
20120403,94.109375,94.171875
20120404,95.6015625,95.6640625
20120405,96.15625,96.21875
20120406,98.1953125,98.2578125
20120409,98.5859375,98.6484375
20120410,99.890625,99.953125
20120411,98.609375,98.671875
20120412,98.328125,98.390625
20120413,99.90625,99.96875
20120416,99.8359375,99.8984375
20120417,99.6171875,99.6796875
20120418,99.9375,100
20120419,100.0234375,100.0859375
20120420,99.9609375,100.0234375
20120423,100.734375,100.796875
20120424,99.8828125,99.9453125
20120425,99.53125,99.59375
20120426,100.1015625,100.1640625
20120427,99.9765625,100.0390625
20120430,100.2421875,100.3046875
20120501,99.5625,99.625
20120502,100.140625,100.203125
20120503,100.09375,100.15625
20120504,101.015625,101.078125
20120507,101.234375,101.296875
20120508,101.7421875,101.8046875
20120509,101.8984375,101.9609375
20120510,101.5859375,101.6484375
20120511,102.328125,102.390625
20120514,104.1796875,104.1953125
20120515,104.25,104.265625
20120516,104.609375,104.625
20120517,106.9296875,106.9921875
20120518,106.5,106.515625
20120521,106.4375,106.453125
20120522,105.234375,105.25
20120523,106.2421875,106.3046875
20120524,105.1015625,105.1171875
20120525,105.7734375,105.7890625
20120529,105.5859375,105.6015625
20120530,108.3984375,108.4140625
20120531,109.9453125,109.9609375
20120601,112.6484375,112.7109375
20120604,111.6171875,111.6328125
20120605,109.921875,109.9375
20120606,107.828125,107.84375
20120607,107.796875,107.8125
20120608,107.703125,107.71875
20120611,108.5,108.546875
20120612,107.203125,107.28125
20120613,108.390625,108.46875
20120614,107.8125,107.828125
20120615,109.0234375,109.0390625
20120618,109.5546875,109.5703125
20120619,107.953125,107.96875
20120620,107.9453125,107.9609375
20120621,109.0234375,109.0546875
20120622,107.4609375,107.5078125
20120625,109.2578125,109.2734375
20120626,108.734375,108.75
20120627,108.90625,108.921875
20120628,109.265625,109.28125
20120629,104.953125,105.015625
20120702,106.140625,106.203125
20120703,105.15625,105.21875
20120705,105.734375,105.796875
20120706,106.875,106.9375
20120709,107.7578125,107.8203125
20120710,108.1796875,108.2421875
20120711,107.953125,108.015625
20120712,109.0390625,109.1015625
20120713,108.796875,108.859375
20120716,109.125,109.1875
20120717,108.140625,108.203125
20120718,108.2734375,108.3359375
20120719,107.90625,107.96875
20120720,109.4296875,109.4921875
20120723,110.46875,110.53125
20120724,111.4609375,111.5234375
20120725,111.4609375,111.5234375
20120726,110.3671875,110.4296875
20120727,107.59375,107.65625
20120730,108.6171875,108.6796875
20120731,109.3984375,109.4609375
20120801,108.28125,108.34375
20120802,109.21875,109.28125
20120803,107.2890625,107.3515625
20120806,107.015625,107.078125
20120807,105.671875,105.734375
20120808,105,105.0625
20120809,104.9140625,104.9765625
20120810,105.3359375,105.3984375
20120813,105.3046875,105.3671875
20120814,103.5859375,103.6484375
20120815,101.859375,101.921875
20120816,101.2109375,101.2734375
20120817,101.640625,101.703125
20120820,101.8984375,101.9609375
20120821,102.3046875,102.3671875
20120822,104.2734375,104.3359375
20120823,104.515625,104.578125
20120824,104.3203125,104.3828125
20120827,105.1875,105.25
20120828,105.4375,105.5
20120829,105.0703125,105.1328125
20120830,105.4921875,105.5546875
20120831,107.03125,107.09375
20120904,106.859375,106.921875
20120905,106.2890625,106.3515625
20120906,104.359375,104.421875
20120907,103.859375,103.921875
20120910,104.2421875,104.3046875
20120911,103.265625,103.328125
20120912,101.8671875,101.9296875
20120913,101.6953125,101.765625
20120914,98.609375,98.671875
20120917,99.6015625,99.6640625
20120918,100.1953125,100.2578125
20120919,101.109375,101.171875
20120920,101.3984375,101.4609375
20120921,101.421875,101.484375
20120924,102.390625,102.453125
20120925,103.4140625,103.4765625
20120926,104.765625,104.828125
20120927,103.515625,103.578125
20120928,98.484375,98.546875
20121001,98.546875,98.609375
20121002,98.640625,98.703125
20121003,98.5625,98.625
20121004,97.1875,97.25
20121005,95.578125,95.640625
20121009,96.4765625,96.5390625
20121010,97.3671875,97.4296875
20121011,97.953125,98.015625
20121012,98.3203125,98.3828125
20121015,98.0625,98.125
20121016,96.6640625,96.7265625
20121017,94.9921875,95.0546875
20121018,94.71875,94.78125
20121019,96.2890625,96.3515625
20121022,95.59375,95.65625
20121023,96.90625,96.96875
20121024,96.046875,96.109375
20121025,95.5,95.5625
20121026,96.875,96.9375
20121029,97.3125,97.375
20121031,97.84375,97.90625
20121101,96.984375,97.046875
20121102,96.8359375,96.8984375
20121105,97.4296875,97.4921875
20121106,96.5546875,96.6171875
20121107,98.359375,98.421875
20121108,99.9453125,100.0078125
20121109,100.28125,100.34375
20121113,100.6328125,100.6953125
20121114,100.5703125,100.6328125
20121115,100.46875,100.53125
20121116,100.4296875,100.4921875
20121119,99.8046875,99.8671875
20121120,98.671875,98.734375
20121121,98.65625,98.71875
20121123,98.4921875,98.5546875
20121126,99.0625,99.125
20121127,99.3828125,99.4453125
20121128,99.1015625,99.1640625
20121129,99.1640625,99.2265625
20121130,98.90625,98.96875
20121203,99.0859375,99.1484375
20121204,99.5234375,99.5859375
20121205,99.5234375,99.5859375
20121206,99.625,99.6875
20121207,98.8828125,98.9453125
20121210,99.125,99.1875
20121211,98.2734375,98.3359375
20121212,97.3203125,97.3828125
20121213,97.015625,97.078125
20121214,97.828125,97.890625
20121217,96.234375,96.296875
20121218,95.2421875,95.3046875
20121219,95.46875,95.53125
20121220,95.5703125,95.6328125
20121221,96.53125,96.59375
20121224,96.421875,96.484375
20121226,96.7265625,96.7890625
20121227,96.9765625,96.9921875
20121228,97.8203125,97.8359375
20121231,96,96.0625
20130102,94.265625,94.328125
20130103,92.6953125,92.7578125
20130104,93.203125,93.265625
20130107,93.1484375,93.2109375
20130108,93.7890625,93.8515625
20130109,93.9296875,93.9921875
20130110,93.546875,93.609375
20130111,94.140625,94.203125
20130114,94.4609375,94.5234375
20130115,94.5703125,94.6328125
20130116,94.8125,94.875
20130117,93.703125,93.765625
20130118,94.5,94.5625
20130122,94.5234375,94.5859375
20130123,94.7265625,94.7890625
20130124,94.2265625,94.2890625
20130125,92.5859375,92.6484375
20130128,92.421875,92.484375
20130129,91.6640625,91.7265625
20130130,91.6796875,91.7421875
20130131,91.875,91.9375
20130201,91.0234375,91.0859375
20130204,92.0703125,92.1328125
20130205,91.2109375,91.2734375
20130206,91.8984375,91.9609375
20130207,91.8828125,91.9453125
20130208,92.015625,92.078125
20130211,91.8828125,91.9453125
20130212,91.5859375,91.6484375
20130213,90.75,90.8125
20130214,91.78125,91.84375
20130215,91.5625,91.625
20130219,90.9609375,91.0234375
20130220,91.1640625,91.2265625
20130221,91.75,91.8125
20130222,91.984375,92.046875
20130225,93.6640625,93.7265625
20130226,93.3515625,93.4140625
20130227,92.96875,93.03125
20130228,93.1875,93.25
20130301,93.84375,93.90625
20130304,93.1953125,93.2578125
20130305,92.828125,92.890625
20130306,92,92.0625
20130307,91.0625,91.125
20130308,90.328125,90.390625
20130311,90.0390625,90.1015625
20130312,90.8515625,90.9140625
20130313,90.7734375,90.8359375
20130314,90.4296875,90.4921875
20130315,90.890625,90.953125
20130318,91.4140625,91.4765625
20130319,92.40625,92.46875
20130320,91.1484375,91.2109375
20130321,92.3203125,92.3828125
20130322,92.0390625,92.1015625
20130325,92.0546875,92.1171875
20130326,92.140625,92.203125
20130327,93.1484375,93.2109375
20130328,100.40625,100.46875
20130401,100.9296875,100.9921875
20130402,100.453125,100.515625
20130403,101.375,101.4375
20130404,102.65625,102.71875
20130405,104.921875,104.984375
20130408,104.1328125,104.1953125
20130409,103.65625,103.71875
