Date,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
20141031,36880.0,39310.0,36880.0,37510.0,0.159851918032,6151.20523721,37760.2155576
20141103,35840.0,38300.0,35840.0,35910.0,0.412350829968,15148.4593941,36524.2291667
20141104,35910.0,38300.0,35910.0,36490.0,0.345876594798,12833.5785838,36561.7096354
20141105,36490.0,40680.0,36490.0,40680.0,0.433543883053,16618.8450484,38840.9791667
20141106,40680.0,45000.0,38280.0,43340.0,0.429599531796,17767.3287134,40020.0659695
20141107,42170.0,43340.0,40020.0,41510.0,0.607580899194,25091.1508477,41354.4330729
20141110,41000.0,42500.0,41000.0,42320.0,0.0467989293936,1978.70991169,42273.0715929
20141112,42910.0,47500.0,42910.0,47500.0,0.357959038634,16184.683596,45660.2668457
20141113,47500.0,54720.0,45360.0,45360.0,0.381500224391,19685.1968832,51468.7818034
20141114,45440.0,49160.0,44760.0,48580.0,0.279388997201,13261.857326,47310.0236681
20141117,43580.0,49690.0,43580.0,47030.0,0.275027742524,13136.9905337,47771.9095513
20141118,47030.0,48600.0,45910.0,45910.0,0.104099159816,4878.43913798,46655.2208523
20141119,45910.0,48210.0,44520.0,47240.0,0.749621938576,34080.0633418,46500.0254123
20141120,47240.0,47240.0,44230.0,44730.0,0.417348391169,18762.4319534,45302.3885471
20141121,44730.0,44830.0,42760.0,43950.0,0.212154908343,9320.48653762,43955.1493245
20141124,44530.0,45980.0,43100.0,45980.0,0.403891542512,17791.2248959,44281.4236111
20141125,45980.0,48770.0,43960.0,45230.0,0.474296013258,22284.0918396,46641.7651286
20141126,45230.0,47130.0,44000.0,44000.0,0.128129988208,5851.88133121,44782.6333225
20141128,44010.0,46020.0,44010.0,45270.0,0.210620579047,9599.71292379,45530.2747396
20141201,47000.0,47830.0,45320.0,45320.0,0.225470334302,10466.7647818,46064.7055447
20141202,45320.0,47520.0,45320.0,45690.0,0.283012972198,13088.7634804,46241.9489204
20141203,45690.0,48190.0,45690.0,46440.0,0.206974663213,9801.67186351,46905.430013
20141204,46440.0,54980.0,45900.0,46500.0,0.31424152579,14702.0434433,46707.2419217
20141205,46500.0,48340.0,45000.0,46950.0,0.204928737205,9582.74981364,46644.0359294
20141208,46500.0,48190.0,45640.0,45870.0,0.459960652039,21469.5747244,46302.90912
20141209,45870.0,46490.0,43100.0,43100.0,0.20167697758,9088.59328296,44139.8469184
20141210,43100.0,53000.0,41590.0,43580.0,1.2967568125,56527.0574549,43617.1516195
20141211,42780.0,45840.0,42210.0,44190.0,1.66253786993,72955.5074853,43801.6997965
20141212,43350.0,46100.0,41965.0,44760.0,1.82610001105,80791.2091152,44017.8632134
20141215,43000.0,43980.0,42200.0,43290.0,0.510588940636,22020.1219281,43218.3266412
20141216,43290.0,43320.0,40300.0,40300.0,0.148185992743,6212.55939506,41415.4490397
